#GTSRCE  label  type    xSrce      ySrce      zSrce  elev
GTSRCE  MGCB  XYZ  5.101026  -2.032849  0  0.2360
GTSRCE  LZB  XYZ  -5.456936  -4.201094  0  0.7940
GTSRCE  NLLB  XYZ  -17.354113  64.214175  0  0.1990
GTSRCE  PFB  XYZ  -51.959380  -8.136748  0  0.4490
GTSRCE  PGC  XYZ  21.951647  0.020167  0  0.0120
GTSRCE  SNB  XYZ  42.464836  14.071816  0  0.4020
GTSRCE  YOUB  XYZ  -37.527868  28.039696  0  0.7710
GTSRCE  KLNB  XYZ  13.216719  1.249812  0  0.0000
GTSRCE  SILB  XYZ  34.554990  -5.233050  0  0.0760
GTSRCE  SSIB  XYZ  26.656432  11.828935  0  0.0120
GTSRCE  TSJB  XYZ  -17.591282  -5.388675  0  0.3780
GTSRCE  TWKB  XYZ  1.238082  -0.578157  0  0.1280
