#GTSRCE  label  type    xSrce      ySrce      zSrce  elev
GTSRCE  BPCB  XYZ  3.334840  30.429742  0  0.0310
GTSRCE  GLBC  XYZ  8.419963  -28.239916  0  0.1000
GTSRCE  JRBC  XYZ  -15.551460  -28.258305  0  0.0200
GTSRCE  LCBC  XYZ  -37.843552  -18.401424  0  0.1000
GTSRCE  KHVB  XYZ  20.938429  -8.991604  0  0.0390
GTSRCE  MGCB  XYZ  5.101026  -2.032849  0  0.2360
GTSRCE  PHYB  XYZ  -6.802213  48.140195  0  0.0390
GTSRCE  SHDB  XYZ  8.376241  16.354546  0  0.0550
GTSRCE  SHVB  XYZ  8.429633  -19.755182  0  0.0690
GTSRCE  SOKB  XYZ  5.694913  -28.387845  0  0.0450
GTSRCE  TWBB  XYZ  -25.233430  -7.217089  0  0.1220
GTSRCE  GOBB  XYZ  17.581545  33.281197  0  0.1730
GTSRCE  LZB  XYZ  -5.456936  -4.201094  0  0.7940
GTSRCE  NLLB  XYZ  -17.354113  64.214175  0  0.1990
GTSRCE  PFB  XYZ  -51.959380  -8.136748  0  0.4490
GTSRCE  PGC  XYZ  21.951647  0.020167  0  0.0120
GTSRCE  SNB  XYZ  42.464836  14.071816  0  0.4020
GTSRCE  VGZ  XYZ  31.455003  -26.257912  0  0.0670
GTSRCE  YOUB  XYZ  -37.527868  28.039696  0  0.7710
GTSRCE  GOWB  XYZ  41.577162  9.816718  0  0.0290
GTSRCE  KELB  XYZ  13.260948  1.238794  0  0.0530
GTSRCE  KLNB  XYZ  13.216719  1.249812  0  0.0000
GTSRCE  SILB  XYZ  34.554990  -5.233050  0  0.0760
GTSRCE  SSIB  XYZ  26.656432  11.828935  0  0.0120
GTSRCE  TSJB  XYZ  -17.591282  -5.388675  0  0.3780
GTSRCE  TWGB  XYZ  -37.301989  -4.592914  0  0.1270
GTSRCE  TWKB  XYZ  1.238082  -0.578157  0  0.1280
