#GTSRCE  label  type    xSrce      ySrce      zSrce  elev
GTSRCE  BPCB  XYZ  17.993449  30.457406  0  0.0310
GTSRCE  GLBC  XYZ  23.230747  -28.198864  0  0.1000
GTSRCE  JRBC  XYZ  -0.740547  -28.279436  0  0.0200
GTSRCE  LCBC  XYZ  -23.058133  -18.480416  0  0.1000
GTSRCE  KHVB  XYZ  35.699240  -8.918143  0  0.0390
GTSRCE  MGCB  XYZ  19.843839  -2.000495  0  0.2360
GTSRCE  PHYB  XYZ  7.810488  48.141503  0  0.0390
GTSRCE  SHDB  XYZ  23.071345  16.395335  0  0.0550
GTSRCE  SHVB  XYZ  23.218408  -19.714134  0  0.0690
GTSRCE  SOKB  XYZ  20.506091  -28.353861  0  0.0450
GTSRCE  TWBB  XYZ  -10.477067  -7.263406  0  0.1220
GTSRCE  GOBB  XYZ  32.232709  33.345808  0  0.1730
GTSRCE  MGB  XYZ  -54.666831  39.191158  0  1.3100
GTSRCE  LZB  XYZ  9.291537  -4.196121  0  0.7940
GTSRCE  NLLB  XYZ  -2.783074  64.188056  0  0.1990
GTSRCE  PFB  XYZ  -37.200541  -8.252391  0  0.4490
GTSRCE  PGC  XYZ  36.689077  0.096226  0  0.0120
GTSRCE  SNB  XYZ  57.165747  14.201040  0  0.4020
GTSRCE  VGZ  XYZ  46.260568  -26.157112  0  0.0670
GTSRCE  YOUB  XYZ  -22.862922  27.961367  0  0.7710
GTSRCE  GOWB  XYZ  56.289114  9.943654  0  0.0290
GTSRCE  KELB  XYZ  27.995247  1.292304  0  0.0530
GTSRCE  KLNB  XYZ  27.950989  1.303208  0  0.0000
GTSRCE  SILB  XYZ  49.306005  -5.124279  0  0.0760
GTSRCE  SSIB  XYZ  41.363214  11.917159  0  0.0120
GTSRCE  TSJB  XYZ  -2.839687  -5.415175  0  0.3780
GTSRCE  TWGB  XYZ  -22.552393  -4.670547  0  0.1270
GTSRCE  TWKB  XYZ  15.977135  -0.555828  0  0.1280
GTSRCE  B927  XYZ  -62.759455  63.614637  0  0.0390
